上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3339","泰谷","7.00","- 0.44 ","7.75","7.75","6.70","58,000","408,250","25","6.90","7.00","96,181,442","7.70","6.30"
"3354","律勝","9.28","+ 0.05 ","9.23","9.42","9.01","78,000","717,040","35","9.16","9.28","82,485,206","10.20","8.36"
"3360","尚立","17.80","- 0.55 ","18.30","18.40","17.80","1,240,000","22,311,650","590","17.75","17.80","75,456,054","19.55","16.05"
"3362","先進光","21.90","+ 1.95 ","19.95","21.90","19.95","964,000","20,928,600","463","21.90","0.00","93,378,000","24.05","19.75"
"3363","上詮","28.50","- 0.10 ","29.05","29.05","28.20","51,000","1,446,600","36","28.20","28.50","77,599,145","31.35","25.65"
"3372","典範","7.67","- 0.03 ","7.58","7.67","7.57","143,000","1,087,920","49","7.65","7.67","408,335,900","8.43","6.91"
"3373","熱映","23.65","- 0.35 ","24.05","24.15","23.65","157,000","3,742,100","92","23.65","23.70","43,289,801","26.00","21.30"
"3374","精材","35.40","+ 0.05 ","35.40","36.90","35.35","9,023,000","325,333,200","4,571","35.40","35.50","269,380,081","38.90","31.90"
"3379","彬台","11.10","- 0.05 ","11.15","11.35","11.05","136,000","1,521,650","35","11.10","11.20","38,041,748","12.20","9.99"
"3388","崇越電","58.40","- 0.20 ","58.50","58.50","58.30","10,000","583,600","8","58.40","58.50","64,266,000","64.20","52.60"
"3390","旭軟","17.30","0.00 ","17.30","17.45","16.95","601,000","10,289,900","273","17.00","17.30","65,845,059","19.00","15.60"
"3402","漢科","23.05","+ 0.10 ","23.00","23.80","23.00","2,745,000","64,008,750","1,160","23.05","23.10","73,047,692","25.35","20.75"
"3428","光燿科","51.90","- 1.10 ","53.50","53.50","51.50","2,298,000","120,497,300","1,482","51.80","51.90","95,752,000","57.00","46.75"
"3431","長天","10.05","- 0.05 ","10.10","10.20","10.05","41,000","414,400","30","10.05","10.10","35,458,704","11.05","9.05"
"3434","哲固"," ----","--- ","----","----","----","0","0","0","13.45","13.90","22,700,000","14.95","12.25"
"3438","類比科","18.85","- 0.15 ","18.90","19.15","18.80","57,000","1,080,250","44","18.85","18.90","67,379,735","20.70","17.00"
"3441","聯一光","14.55","+ 0.40 ","14.20","15.10","14.20","596,000","8,793,450","331","14.55","14.60","40,039,920","16.00","13.10"
"3444","利機","17.50","- 0.05 ","17.40","17.55","17.35","43,000","749,000","22","17.35","17.55","39,114,586","19.25","15.75"
"3452","益通","10.20","- 0.30 ","10.50","10.50","10.20","593,000","6,112,200","230","10.20","10.30","779,449,742","11.20","9.18"
"3455","由田","35.75","- 0.70 ","36.40","36.80","35.55","849,000","30,646,750","509","35.75","35.80","61,208,750","39.30","32.20"
"3465","祥業"," ----","--- ","----","----","----","0","0","0","6.80","6.90","26,320,669","7.48","6.12"
"3466","致振","18.75","+ 0.25 ","18.55","18.75","18.55","2,000","37,300","2","18.50","18.75","60,887,573","20.60","16.90"
"3479","安勤","74.90","+ 0.30 ","75.50","77.40","74.50","2,139,000","162,706,100","1,433","74.80","74.90","69,333,164","82.30","67.50"
"3483","力致","25.15","- 0.90 ","26.60","26.90","25.05","2,908,000","75,600,900","1,468","25.10","25.15","48,960,000","27.65","22.65"
"3484","崧騰","45.80","- 4.80 ","50.50","51.10","45.55","4,301,000","203,352,600","2,684","45.80","45.90","65,291,622","50.30","41.25"
"3489","森寶","9.87","+ 0.89 ","9.85","9.87","9.68","169,000","1,666,340","63","9.87","0.00","83,130,670","10.85","8.89"
"3490","單井","35.30","- 3.30 ","38.00","38.10","35.00","4,024,000","144,551,950","2,532","35.30","35.45","62,341,847","38.80","31.80"
"3491","昇達科","59.90","- 0.10 ","60.80","60.80","59.70","211,000","12,656,100","111","59.90","60.00","51,581,241","65.80","54.00"
"3492","長盛","37.00","- 1.10 ","38.00","38.20","37.00","337,000","12,606,700","161","37.00","37.05","35,531,600","40.70","33.30"
"3498","陽程","44.90","- 0.70 ","45.90","45.90","44.70","701,000","31,588,400","375","44.90","44.95","91,755,024","49.35","40.45"
"3499","環天科","17.25","- 0.45 ","17.85","17.85","17.25","404,000","7,028,600","201","17.25","17.30","54,970,596","18.95","15.55"
"3508","位速","17.15","+ 0.15 ","17.20","17.35","16.80","2,413,000","41,290,250","1,038","17.10","17.15","92,837,737","18.85","15.45"
"3511","矽瑪","22.85","+ 0.10 ","22.80","22.90","22.75","30,000","684,200","19","22.75","22.85","38,972,945","25.10","20.60"
"3512","能緹","25.85","+ 0.35 ","25.05","26.75","25.05","7,000","183,050","6","25.30","25.90","59,000,000","28.40","23.30"
"3516","亞帝歐","9.00","- 0.08 ","9.08","9.08","9.00","54,000","488,360","22","8.98","9.00","69,083,650","9.90","8.10"
"3520","振維","97.90","+ 0.20 ","99.80","99.80","97.90","395,000","38,840,500","243","97.90","98.40","54,599,895","107.50","88.20"
"3521","鴻翊","10.85","- 0.15 ","11.05","11.10","10.70","96,000","1,044,350","45","10.85","10.90","46,730,575","11.90","9.77"
"3522","宏森","41.60","+ 0.65 ","40.95","42.40","40.40","1,779,000","73,783,800","1,138","41.50","41.60","64,950,000","45.75","37.45"
"3523","迎輝","14.65","- 0.85 ","15.10","15.20","14.25","549,000","8,101,850","254","14.60","14.65","96,099,560","16.10","13.20"
"3526","凡甲","76.00","- 2.30 ","78.30","78.70","74.50","3,731,000","283,207,400","2,727","75.80","76.00","65,837,193","83.60","68.40"
"3527","聚積","69.30","+ 0.90 ","69.20","69.70","69.00","408,000","28,303,800","286","69.30","69.50","32,656,398","76.20","62.40"
"3529","力旺","335.00","- 3.00 ","338.00","339.00","335.00","117,000","39,459,000","116","334.50","337.50","75,782,242","368.50","301.50"
"3531","先益","18.80","+ 0.40 ","18.55","19.60","18.20","141,000","2,644,450","87","18.80","19.00","61,175,011","20.65","16.95"
"3537","堡達","20.60","+ 0.20 ","20.40","20.80","20.40","178,000","3,669,700","68","20.50","20.60","48,695,220","22.65","18.55"
"3540","曜越","20.75","- 0.55 ","21.30","21.40","20.70","695,000","14,519,800","381","20.75","20.85","66,613,044","22.80","18.70"
"3541","西柏","136.00","- 6.50 ","142.00","142.00","135.50","761,000","104,772,000","567","136.00","136.50","44,829,170","149.50","122.50"
"3546","宇峻","71.10","- 0.20 ","71.50","72.90","71.10","545,000","39,248,300","388","71.10","71.20","34,123,754","78.20","64.00"
"3548","兆利","63.60","- 1.60 ","64.90","65.00","63.40","2,239,000","143,442,600","1,667","63.60","63.70","60,551,398","69.90","57.30"
"3551","世禾","32.55","+ 0.20 ","32.35","32.65","32.35","95,000","3,083,300","44","32.45","32.50","56,774,890","35.80","29.30"
"3552","同致","468.50","- 5.50 ","472.00","474.00","462.00","908,000","424,582,500","803","468.50","469.00","84,846,449","515.00","422.00"
"3553","力積","14.40","0.00 ","14.40","14.45","14.40","578,000","8,327,650","109","14.40","14.45","67,953,344","15.80","13.00"
"3555","重鳥鵬","73.80","- 0.20 ","74.00","74.00","73.00","26,000","1,906,000","25","73.20","73.80","35,550,000","81.10","66.50"
"3556","禾瑞亞","51.20","+ 2.40 ","50.40","51.20","50.30","1,035,000","52,542,200","749","51.20","51.30","57,181,418","56.30","46.10"
"3558","神準","140.50","- 1.00 ","142.00","142.00","140.00","96,000","13,527,500","87","140.50","141.50","49,060,881","154.50","126.50"
